"step","Tanimoto_ROCS_sim","Custom_alerts","Linker_Num_Aromatic_Rings","Linker_Effective_Length","ADV","PostDock_Tanimoto_ROCS_sim","raw_Linker_Num_Aromatic_Rings","raw_Linker_Effective_Length","raw_ADV","Valid_SMILES","Number_of_SMILES_found","Average_score","low_upper","Link Length"
19,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
20,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
21,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
22,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
23,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
24,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
25,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
26,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
27,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
28,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
29,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
30,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
31,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
32,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
33,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
34,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
35,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
36,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
37,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
38,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
39,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
40,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
41,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
42,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
43,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
44,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
45,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
46,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
